GO_term n
GO:0005886      12
GO:0005515      11
GO:0005634      8
GO:0003676      7
GO:0003677      7
GO:0006334      6
GO:0000786      5
GO:0003723      5
GO:0005737      5
GO:0006355      4
GO:0008270      4
GO:0030527      4
GO:0003691      3
GO:0004672      3
GO:0000028      2
GO:0000976      2
GO:0003690      2
GO:0003735      2
GO:0005524      2
GO:0005768      2
GO:0005802      2
GO:0005829      2
GO:0005840      2
GO:0006412      2
GO:0006468      2
GO:0006508      2
GO:0007166      2
GO:0008168      2
GO:0009058      2
GO:0016491      2
GO:0022627      2
GO:0030247      2
GO:0030261      2
GO:0030490      2
GO:0031492      2
GO:0045910      2
GO:0046982      2
GO:0000118      1
GO:0000213      1
GO:0000214      1
GO:0000379      1
GO:0000785      1
GO:0003700      1
GO:0003712      1
GO:0003729      1
GO:0004029      1
GO:0004222      1
GO:0004519      1
GO:0004674      1
GO:0004739      1
GO:0004842      1
GO:0005509      1
GO:0005730      1
GO:0006081      1
GO:0006086      1
GO:0006357      1
GO:0006388      1
GO:0006457      1
GO:0006606      1
GO:0006886      1
GO:0006888      1
GO:0006890      1
GO:0006891      1
GO:0008033      1
GO:0008234      1
GO:0009055      1
GO:0009725      1
GO:0009742      1
GO:0010499      1
GO:0010608      1
GO:0016020      1
GO:0016504      1
GO:0016567      1
GO:0016620      1
GO:0016624      1
GO:0030126      1
GO:0031490      1
GO:0032454      1
GO:0033186      1
GO:0033897      1
GO:0045893      1
GO:0051087      1
GO:0051131      1
GO:0051603      1
GO:0051879      1
GO:0061608      1
GO:0070577      1
GO:0070628      1
