gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.1HG00001580	transcript145	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001610	transcript151	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001620	transcript152	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001640	transcript158	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001700	transcript165	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001730	transcript167	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001760	transcript173	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001770	transcript174	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001790	transcript176	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001800	transcript179	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001820	transcript180	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001830	transcript181	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001840	transcript183	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001850	transcript184	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001860	transcript185	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001870	transcript186	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001880	transcript187	78.00	41.00	39.00	49.00	54.00	70.00
HORVU.RGT_PLANET.PROJ.1HG00001890	transcript188	76.00	99.00	103.00	39.00	27.00	55.00
HORVU.RGT_PLANET.PROJ.1HG00001900	transcript189	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001910	transcript190	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001920	transcript192	0.00	0.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001930	transcript194	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001950	transcript195	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001960	transcript196	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001970	transcript197	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00001990	transcript198	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002000	transcript199	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002030	transcript205	1.00	2.00	6.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002040	transcript206	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002050	transcript208	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002060	transcript210	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002070	transcript211	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002100	transcript213	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002110	transcript214	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002120	transcript215	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002130	transcript216	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002140	transcript217	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002200	transcript219	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002240	transcript221	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00002290	transcript223	0.00	0.00	0.00	0.00	0.00	0.00
