gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.3HG00726220	transcript18019	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726230	transcript18025	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726240	transcript18036	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726250	transcript18044	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726260	transcript18045	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726270	transcript18054	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726280	transcript18070	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726290	transcript18071	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726300	transcript18072	0.00	1.00	1.00	2.00	1.00	2.00
HORVU.RGT_PLANET.PROJ.3HG00726310	transcript18074	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726320	transcript18079	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726330	transcript18082	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726340	transcript18084	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726350	transcript18086	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726360	transcript18087	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726400	transcript18113	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726410	transcript18115	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726420	transcript18123	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726430	transcript18131	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726440	transcript18139	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726450	transcript18140	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726460	transcript18148	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726480	transcript18158	0.00	0.00	0.00	0.00	0.00	2.00
HORVU.RGT_PLANET.PROJ.3HG00726490	transcript18165	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726500	transcript18166	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726510	transcript18168	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726520	transcript18171	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726530	transcript18172	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726540	transcript18176	0.00	0.00	0.00	2.02	0.00	3.37
HORVU.RGT_PLANET.PROJ.3HG00726550	transcript18182	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726560	transcript18183	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726570	transcript18196	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726580	transcript18198	0.00	1.00	0.00	3.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726590	transcript18201	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726600	transcript18206	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726610	transcript18211	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726620	transcript18215	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726630	transcript18227	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726640	transcript18231	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726650	transcript18236	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726660	transcript18237	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726670	transcript18241	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726680	transcript18247	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726690	transcript18261	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726700	transcript18274	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726710	transcript18276	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726720	transcript18277	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726730	transcript18289	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726740	transcript18294	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726760	transcript18297	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726770	transcript18308	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726780	transcript18318	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726790	transcript18320	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726800	transcript18324	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726810	transcript18326	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726820	transcript18333	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726830	transcript18335	1.00	0.00	0.00	1.00	4.00	5.00
HORVU.RGT_PLANET.PROJ.3HG00726860	transcript18340	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726870	transcript18342	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726880	transcript18349	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726890	transcript18359	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726900	transcript18361	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726910	transcript18363	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726920	transcript18365	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726930	transcript18367	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726940	transcript18368	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726950	transcript18371	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726960	transcript18372	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726970	transcript18374	15.00	11.00	19.00	2.00	3.00	7.00
HORVU.RGT_PLANET.PROJ.3HG00726980	transcript18382	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00726990	transcript18383	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727000	transcript18386	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727010	transcript18387	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727020	transcript18388	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727030	transcript18391	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727040	transcript18396	0.00	1.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727050	transcript18404	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727060	transcript18406	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727070	transcript18407	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727080	transcript18408	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727090	transcript18409	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727100	transcript18410	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727110	transcript18411	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727120	transcript18413	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727130	transcript18414	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727140	transcript18421	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727150	transcript18429	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727160	transcript18445	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727170	transcript18448	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727180	transcript18449	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727190	transcript18451	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727200	transcript18460	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727210	transcript18465	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727220	transcript18472	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727230	transcript18474	0.00	0.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727240	transcript18485	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727250	transcript18494	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727260	transcript18496	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727270	transcript18498	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727280	transcript18499	0.00	0.00	2.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727290	transcript18507	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727300	transcript18522	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727310	transcript18524	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727320	transcript18525	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727330	transcript18526	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727340	transcript18535	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727360	transcript18540	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727370	transcript18543	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727380	transcript18545	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727390	transcript18552	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727400	transcript18554	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727410	transcript18568	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727420	transcript18574	1.00	1.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727430	transcript18577	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727440	transcript18578	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727460	transcript18584	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727470	transcript18588	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727480	transcript18590	0.00	0.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727490	transcript18593	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727500	transcript18598	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727510	transcript18604	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727530	transcript18613	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727540	transcript18616	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727550	transcript18617	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727560	transcript18618	0.00	0.00	0.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727570	transcript18619	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727580	transcript18622	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727590	transcript18624	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727600	transcript18625	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727610	transcript18627	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727620	transcript18628	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727630	transcript18631	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727640	transcript18633	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727650	transcript18637	0.00	0.60	5.47	1.69	0.00	4.29
HORVU.RGT_PLANET.PROJ.3HG00727660	transcript18640	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727670	transcript18647	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727680	transcript18654	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727690	transcript18656	0.00	0.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727700	transcript18658	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727710	transcript18659	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727720	transcript18660	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727730	transcript18664	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727740	transcript18669	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727750	transcript18670	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727760	transcript18684	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727770	transcript18689	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727780	transcript18697	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727790	transcript18700	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727800	transcript18703	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727810	transcript18707	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727820	transcript18711	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727830	transcript18712	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727840	transcript18716	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727850	transcript18717	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727860	transcript18719	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727870	transcript18730	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727880	transcript18737	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727890	transcript18739	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727900	transcript18748	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727910	transcript18759	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727920	transcript18763	6.99	3.13	11.59	0.00	0.00	1.24
HORVU.RGT_PLANET.PROJ.3HG00727930	transcript18764	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727940	transcript18773	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727950	transcript18775	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727960	transcript18778	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727970	transcript18796	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727980	transcript18797	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00727990	transcript18803	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728000	transcript18804	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728010	transcript18814	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728020	transcript18817	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728030	transcript18824	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728040	transcript18841	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728050	transcript18847	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728060	transcript18852	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728070	transcript18854	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728080	transcript18857	0.00	1.00	1.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728090	transcript18864	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728100	transcript18865	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728110	transcript18866	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728120	transcript18875	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728130	transcript18879	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728140	transcript18887	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728150	transcript18889	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728160	transcript18890	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728170	transcript18895	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728180	transcript18898	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728190	transcript18901	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728200	transcript18902	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728210	transcript18904	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728220	transcript18906	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728230	transcript18911	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728240	transcript18927	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728250	transcript18933	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728260	transcript18942	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728270	transcript18961	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728280	transcript18966	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728290	transcript18969	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728310	transcript18975	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728320	transcript18978	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728330	transcript18980	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728340	transcript18983	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728350	transcript18985	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728360	transcript18986	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728370	transcript18994	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728380	transcript18995	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728390	transcript18996	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728400	transcript18998	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728410	transcript19000	1.00	3.00	2.00	2.00	5.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728420	transcript19001	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728430	transcript19004	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728440	transcript19006	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728450	transcript19007	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728460	transcript19008	0.00	0.00	1.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728470	transcript19013	4.00	3.00	2.00	0.00	1.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728480	transcript19014	3.00	1.00	0.00	0.00	1.00	2.00
HORVU.RGT_PLANET.PROJ.3HG00728490	transcript19022	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728500	transcript19027	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728510	transcript19034	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728520	transcript19036	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728540	transcript19053	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728550	transcript19056	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728560	transcript19059	0.00	0.00	0.00	0.00	0.00	2.01
HORVU.RGT_PLANET.PROJ.3HG00728570	transcript19060	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728580	transcript19061	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728590	transcript19066	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728600	transcript19068	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728610	transcript19070	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728620	transcript19072	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728630	transcript19079	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728640	transcript19080	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728650	transcript19081	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728660	transcript19085	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728670	transcript19091	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728680	transcript19094	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728690	transcript19098	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728700	transcript19100	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728710	transcript19108	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728720	transcript19109	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728730	transcript19113	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728740	transcript19116	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728750	transcript19119	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728760	transcript19128	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728770	transcript19129	8.00	0.00	2.00	0.00	3.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728780	transcript19131	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728790	transcript19139	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728800	transcript19142	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728810	transcript19149	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.3HG00728820	transcript19150	0.00	0.00	0.00	0.00	0.00	0.00
