,StringTie2-ref,FLAIR-ref,IsoQuant-ref,Bambu-ref,FLAMES-ref,RGT Planet,Bambu-refFree,IsoQuant-refFree,StringTie2-refFree
Number of genes,53929,28073,53444,52761,11694,52081,16463,13661,16027
Number of transcripts,58119,28979,57825,54695,20041,52333,50587,15105,18046
