,StringTie2-ref,FLAIR-ref,IsoQuant-ref,Bambu-ref,FLAMES-ref,RGT Planet,Bambu-refFree,IsoQuant-refFree,StringTie2-refFree
Coding,97.62,79.98,98.8,98.95,97.95,99.31,92.56,97.6,97.14
Non-coding,2.38,20.02,1.2,1.05,2.05,0.69,7.44,2.4,2.86
